"avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Time (s)" "Packet Inter-arrival (ms)"
0.0 0.0 0.45 0.886 0.0
0.0 7.424 0.45 0.886 0.0
0.0 20.35 0.45 0.886 0.0
0.0 3.195 0.45 0.886 0.0
0.0 1.328 0.45 0.886 0.0
0.0 0.067 0.45 0.886 0.0
0.0 0.481 0.45 0.886 0.0
0.0 0.034 0.45 0.886 0.0
0.0 0.067 0.45 0.886 0.0
0.0 0.463 0.45 0.886 0.0
0.0 0.03 0.45 0.886 0.0
0.0 0.085 0.45 0.886 0.0
0.0 0.754 0.45 0.886 0.0
0.0 0.555 0.45 0.886 0.0
0.0 5.01 0.45 0.886 0.0
0.0 0.03 0.45 0.886 0.0
0.0 8.188 0.45 0.886 0.0
0.0 1.257 0.45 0.886 0.0
0.0 15.506 0.45 0.886 0.0
0.0 0.466 0.45 0.886 0.0
0.0 0.197 0.45 0.886 0.0
0.0 0.205 0.45 0.886 0.0
0.0 0.188 0.45 0.886 0.0
0.0 0.187 0.45 0.886 0.0
0.0 0.566 0.45 0.886 0.0
0.0 0.1 0.45 0.886 0.0
0.0 1.722 0.45 0.886 0.0
0.0 20.293 0.45 0.886 0.0
0.0 9.097 0.45 0.886 0.0
0.0 0.509 0.45 0.886 0.0
0.0 0.19 0.45 0.886 0.0
0.0 0.197 0.45 0.886 0.0
0.0 0.208 0.45 0.886 0.0
0.0 0.551 0.45 0.886 0.0
0.0 0.2 0.45 0.886 0.0
0.0 0.237 0.45 0.886 0.0
0.0 0.098 0.45 0.886 0.0
0.0 7.023 0.45 0.886 0.0
0.0 1.937 0.45 0.886 0.0
0.0 20.314 0.45 0.886 0.0
0.0 1.864 0.45 0.886 0.0
0.0 0.53 0.45 0.886 0.0
0.0 0.202 0.45 0.886 0.0
0.0 0.223 0.45 0.886 0.0
0.0 0.163 0.45 0.886 0.0
0.0 0.554 0.45 0.886 0.0
0.0 0.189 0.45 0.886 0.0
0.0 0.154 0.45 0.886 0.0
0.0 4.05 0.45 0.886 0.0
0.0 1.535 0.45 0.886 0.0
0.0 10.853 0.45 0.886 0.0
0.0 0.275 0.45 0.886 0.0
0.0 14.937 0.45 0.886 0.0
0.0 0.528 0.45 0.886 0.0
0.0 0.233 0.45 0.886 0.0
0.0 0.151 0.45 0.886 0.0
0.0 0.194 0.45 0.886 0.0
0.0 0.564 0.45 0.886 0.0
0.0 0.197 0.45 0.886 0.0
0.0 0.202 0.45 0.886 0.0
0.0 0.065 0.45 0.886 0.0
0.0 3.66 0.45 0.886 0.0
0.0 20.357 0.45 0.886 0.0
0.0 7.312 0.45 0.886 0.0
0.0 0.529 0.45 0.886 0.0
0.0 0.199 0.45 0.886 0.0
0.0 0.205 0.45 0.886 0.0
0.0 0.19 0.45 0.886 0.0
0.0 0.558 0.45 0.886 0.0
0.0 0.19 0.45 0.886 0.0
0.0 0.083 0.45 0.886 0.0
0.0 11.26 0.45 0.886 0.0
0.0 20.215 0.45 0.886 0.0
0.0 0.045 0.45 0.886 0.0
0.0 0.49 0.45 0.886 0.0
0.0 0.197 0.45 0.886 0.0
0.0 0.203 0.45 0.886 0.0
0.0 0.201 0.45 0.886 0.0
0.0 0.611 0.45 0.886 0.0
0.0 0.192 0.45 0.886 0.0
0.0 0.031 0.45 0.886 0.0
0.0 7.3 0.45 0.886 0.0
0.0 0.06 0.45 0.886 0.0
0.0 1.412 0.45 0.886 0.0
0.0 0.133 0.45 0.886 0.0
0.0 8.27 0.45 0.886 0.0
0.0 2.888 0.45 0.886 0.0
0.0 11.311 0.45 0.886 0.0
0.0 0.536 0.45 0.886 0.0
0.0 0.188 0.45 0.886 0.0
0.0 0.198 0.45 0.886 0.0
0.0 0.189 0.45 0.886 0.0
0.0 0.579 0.45 0.886 0.0
0.0 0.202 0.45 0.886 0.0
0.0 0.206 0.45 0.886 0.0
0.0 0.031 0.45 0.886 0.0
0.0 6.824 0.45 0.886 0.0
0.0 20.309 0.45 0.886 0.0
0.0 3.91 0.45 0.886 0.0
0.0 0.518 0.45 0.886 0.0
0.0 0.241 0.45 0.886 0.0
0.0 0.177 0.45 0.886 0.0
